epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,197.283,0.84659,0.44097,0.81288,0.98926,0.98867,0.99465,0.7419,0.90067,0.47568,0.79839,0.0007294,0.0007294,0.0007294
43,201.942,0.84995,0.44465,0.81921,0.99063,0.9897,0.99442,0.8068,0.61674,0.37695,0.78489,0.0007228,0.0007228,0.0007228
44,206.425,0.81026,0.42148,0.81457,0.99472,0.98963,0.9941,0.742,0.84233,0.41898,0.79205,0.0007162,0.0007162,0.0007162
45,211.044,0.88404,0.44182,0.8183,0.99449,0.99155,0.99398,0.72436,0.87776,0.41252,0.79396,0.0007096,0.0007096,0.0007096
46,215.636,0.88291,0.44503,0.82094,0.98377,0.99054,0.99386,0.77877,0.71185,0.38331,0.78613,0.000703,0.000703,0.000703
47,220.252,0.82872,0.42546,0.81772,0.99198,0.99079,0.99393,0.77883,0.79372,0.41192,0.78764,0.0006964,0.0006964,0.0006964
48,224.787,0.83178,0.42774,0.81209,0.99727,0.99006,0.99447,0.80949,0.68298,0.39281,0.78315,0.0006898,0.0006898,0.0006898
49,229.273,0.82314,0.42048,0.81472,0.99745,0.99001,0.99458,0.8003,0.66835,0.37826,0.78082,0.0006832,0.0006832,0.0006832
50,233.798,0.8192,0.40982,0.80897,0.99744,0.99358,0.99474,0.81599,0.63826,0.36974,0.77977,0.0006766,0.0006766,0.0006766
51,238.388,0.80811,0.40854,0.8063,0.99392,0.99211,0.99455,0.83799,0.6043,0.3593,0.77863,0.00067,0.00067,0.00067
52,243.446,0.81472,0.41344,0.81478,0.99371,0.99135,0.99444,0.81383,0.76003,0.40117,0.78522,0.0006634,0.0006634,0.0006634
53,247.982,0.81644,0.42083,0.80757,0.99389,0.99135,0.99448,0.8153,0.69886,0.39744,0.78488,0.0006568,0.0006568,0.0006568
54,252.723,0.79518,0.40596,0.8064,0.9943,0.99125,0.99451,0.76716,0.67919,0.39091,0.78168,0.0006502,0.0006502,0.0006502
55,257.354,0.80418,0.40995,0.80599,0.99257,0.99128,0.99454,0.73794,0.74065,0.39136,0.78613,0.0006436,0.0006436,0.0006436
56,262.203,0.78275,0.39982,0.80786,0.99468,0.99135,0.99435,0.74459,0.80174,0.4004,0.78685,0.000637,0.000637,0.000637
57,266.829,0.75048,0.38665,0.80993,0.99405,0.99277,0.99445,0.78789,0.76347,0.39979,0.78244,0.0006304,0.0006304,0.0006304
58,271.723,0.73069,0.3875,0.80904,0.99356,0.99053,0.99473,0.78103,0.69893,0.37829,0.78061,0.0006238,0.0006238,0.0006238
59,276.845,0.78951,0.39045,0.81256,0.99362,0.99104,0.99479,0.79349,0.67857,0.37166,0.77985,0.0006172,0.0006172,0.0006172
60,281.431,0.76495,0.40131,0.80121,0.99025,0.99054,0.99474,0.80039,0.71332,0.38226,0.78254,0.0006106,0.0006106,0.0006106
61,286.113,0.76263,0.40092,0.8114,0.99286,0.99218,0.99487,0.77919,0.85191,0.4226,0.78487,0.000604,0.000604,0.000604
62,290.613,0.7767,0.39976,0.81089,0.9898,0.99218,0.99493,0.78163,0.7863,0.41065,0.78574,0.0005974,0.0005974,0.0005974
63,295.042,0.78065,0.39123,0.81097,0.99129,0.98907,0.99473,0.79681,0.67006,0.38191,0.78022,0.0005908,0.0005908,0.0005908
64,299.619,0.79763,0.40798,0.81102,0.99351,0.98579,0.99488,0.77361,0.83832,0.42579,0.78729,0.0005842,0.0005842,0.0005842
65,304.191,0.79689,0.4,0.80951,0.99389,0.98429,0.99479,0.81077,0.69801,0.38311,0.78039,0.0005776,0.0005776,0.0005776
66,308.785,0.75412,0.39616,0.8126,0.99292,0.98849,0.99457,0.80062,0.74771,0.3973,0.78395,0.000571,0.000571,0.000571
67,313.376,0.75579,0.39066,0.80562,0.99308,0.98985,0.99441,0.77368,0.79427,0.40979,0.78743,0.0005644,0.0005644,0.0005644
68,317.997,0.78769,0.39362,0.81857,0.99519,0.99107,0.99439,0.78891,0.68407,0.37515,0.78164,0.0005578,0.0005578,0.0005578
69,322.523,0.75506,0.39068,0.81201,0.99511,0.99217,0.9944,0.7868,0.68975,0.35663,0.78172,0.0005512,0.0005512,0.0005512
70,327.069,0.75616,0.38183,0.8057,0.99513,0.99252,0.99448,0.81956,0.59632,0.33778,0.77724,0.0005446,0.0005446,0.0005446
71,331.554,0.74558,0.3801,0.80656,0.99278,0.99251,0.99469,0.82373,0.59501,0.33913,0.77722,0.000538,0.000538,0.000538
72,336.148,0.75819,0.38211,0.80758,0.98959,0.99004,0.99469,0.82012,0.63131,0.33989,0.77971,0.0005314,0.0005314,0.0005314
73,340.675,0.74211,0.37785,0.81085,0.9906,0.98611,0.9947,0.81217,0.59183,0.33739,0.77866,0.0005248,0.0005248,0.0005248
74,345.327,0.72467,0.37305,0.80571,0.99133,0.98981,0.99477,0.80809,0.60767,0.34275,0.77911,0.0005182,0.0005182,0.0005182
75,349.988,0.72281,0.38288,0.79793,0.9891,0.99391,0.99479,0.78535,0.69624,0.36591,0.78055,0.0005116,0.0005116,0.0005116
76,354.729,0.7497,0.38112,0.80713,0.99407,0.99223,0.99477,0.80402,0.61038,0.33797,0.78014,0.000505,0.000505,0.000505
77,359.293,0.7081,0.36703,0.80162,0.99442,0.99312,0.99484,0.78567,0.66033,0.3587,0.78148,0.0004984,0.0004984,0.0004984
78,364.096,0.75014,0.38199,0.797,0.99516,0.99295,0.99484,0.78655,0.62925,0.35459,0.7812,0.0004918,0.0004918,0.0004918
79,368.704,0.74445,0.37788,0.80996,0.99487,0.99307,0.99482,0.76676,0.67817,0.36589,0.78187,0.0004852,0.0004852,0.0004852
80,373.335,0.7076,0.3675,0.80427,0.99526,0.99456,0.99486,0.76713,0.7245,0.38153,0.7834,0.0004786,0.0004786,0.0004786
81,377.988,0.73246,0.37504,0.80766,0.99539,0.99416,0.99489,0.79588,0.59387,0.34268,0.77757,0.000472,0.000472,0.000472
